Type;Datum;Order;Depth;Soil material;Cd;Cr;Cu;Ni;Pb;Zn;ID;Time;FecPrev2;EC;pH;FecPrev;Precipitation ;Humidity;AirTemp;Evapotranspiration;Infiltration;Interflow;Soil moisture;Soil temperature;SurfaceRunoff
D;21.11.2012;1;1;Runoff concentration;NA;NA;NA;NA;NA;NA;Runoff concentration_1;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;2;Runoff concentration;0.2;2.55;25.3;2.6;8.2;38.15;Runoff concentration_2;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;3;Runoff concentration;0.25;4.05;33.6;4.3;4.66;56.25;Runoff concentration_3;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;0;Sm1;NA;NA;NA;NA;NA;NA;Sm1_0;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;0;Sm2;NA;NA;NA;NA;NA;NA;Sm2_0;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;0;Sm3;NA;NA;NA;NA;NA;NA;Sm3_0;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;15;Sm1;NA;NA;NA;NA;NA;NA;Sm1_15;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;15;Sm2;NA;NA;NA;NA;NA;NA;Sm2_15;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;30;Sm1;0.8;1.25;28.1;35.2;4.8;57.4;Sm1_30;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;30;Sm2;0.35;1.8;14;7;9.3;18.1;Sm2_30;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;21.11.2012;1;30;Sm3;0.3;1.7;5.6;13.6;5.4;27.15;Sm3_30;0;12.05.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;1;Runoff concentration;0;3.3;13;2.8;3.9;46.35;Runoff concentration_1;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;2;Runoff concentration;0;4.1;11.1;3;2;43.2;Runoff concentration_2;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;3;Runoff concentration;0.05;5.85;15.8;2.3;4.2;63.95;Runoff concentration_3;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;0;Sm1;NA;NA;NA;NA;NA;NA;Sm1_0;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;0;Sm2;0.1;3;10;1.7;2.7;27;Sm2_0;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;0;Sm3;1.75;7.45;123.2;8.1;2.37;78.25;Sm3_0;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;15;Sm1;0.35;3.8;45.3;4.3;14.9;40.65;Sm1_15;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;15;Sm2;0.7;3.45;16.5;4.9;8.2;42.5;Sm2_15;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;15;Sm3;0.15;4.65;12.9;2.7;2.8;25.2;Sm3_15;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;30;Sm1;0.55;1.65;34.7;15.4;11.2;17.65;Sm1_30;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;30;Sm2;0.4;2.35;6.3;6.5;9.9;8.1;Sm2_30;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;11.12.2012;2;30;Sm3;0.35;3.2;2.3;4.9;6.2;3;Sm3_30;20;08.12.2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
D;23.01.2013;3;1;Runoff concentration;0.15;3.4;11.3;0.8;2.9;33.2;Runoff concentration_1;63;16.01.2013;0.1219;7.61;23.01.2013;0;83.2625;-4.5875;0.25;NA;NA;NA;NA;0
D;23.01.2013;3;2;Runoff concentration;0.2;2.35;9.5;1.4;3.9;32.25;Runoff concentration_2;63;16.01.2013;NA;NA;23.01.2013;0;83.2625;-4.5875;0.25;NA;NA;NA;NA;0
D;23.01.2013;3;3;Runoff concentration;0.05;2.8;10.9;1.4;4.5;38.2;Runoff concentration_3;63;16.01.2013;0.1679;7.51;23.01.2013;0;83.2625;-4.5875;0.25;NA;NA;NA;NA;0
D;23.01.2013;3;0;Sm1;0.1;2.6;9.3;1.3;3.8;29.65;Sm1_0;63;16.01.2013;0.797;7.92;23.01.2013;0;83.2625;-4.5875;0.25;0.3125;0;10.175;2.7875;0
D;23.01.2013;3;0;Sm2;0.2;2.15;7.9;0.9;3.3;29.35;Sm2_0;63;16.01.2013;0.421;8.16;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.225;2.525;0
D;23.01.2013;3;0;Sm3;0.1;3.3;8.5;1;2.1;28.8;Sm3_0;63;16.01.2013;0.442;8.34;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.8125;2.65;0
D;23.01.2013;3;15;Sm1;NA;NA;NA;NA;NA;NA;Sm1_15;63;16.01.2013;0.797;7.92;23.01.2013;0;83.2625;-4.5875;0.25;0.3125;0;10.175;2.7875;0
D;23.01.2013;3;15;Sm2;0.35;6.65;65.6;17.1;9.5;32.25;Sm2_15;63;16.01.2013;0.421;8.16;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.225;2.525;0
D;23.01.2013;3;15;Sm3;0.1;2.65;6.7;2.3;1.7;15.75;Sm3_15;63;16.01.2013;0.442;8.34;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.8125;2.65;0
D;23.01.2013;3;30;Sm1;0.55;12.2;248.2;11.3;50.3;52.8;Sm1_30;63;16.01.2013;0.797;7.92;23.01.2013;0;83.2625;-4.5875;0.25;0.3125;0;10.175;2.7875;0
D;23.01.2013;3;30;Sm2;0.2;1.9;14.8;3.2;1.1;4.25;Sm2_30;63;16.01.2013;0.421;8.16;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.225;2.525;0
D;23.01.2013;3;30;Sm3;0.15;4.3;9.2;3.9;2.7;10.1;Sm3_30;63;16.01.2013;0.442;8.34;23.01.2013;0;83.2625;-4.5875;0.25;0.125;0;7.8125;2.65;0
D;06.02.2013;4;1;Runoff concentration;0.1;3.9;29.5;1.5;2.9;81.8;Runoff concentration_1;77;29.01.2013;0.563;8.13;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;NA;NA;NA;NA;248.1428571
D;06.02.2013;4;2;Runoff concentration;0.6;2;12.4;3.7;1.3;30.25;Runoff concentration_2;77;29.01.2013;13.03;7.55;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;NA;NA;NA;NA;37.42857143
D;06.02.2013;4;3;Runoff concentration;0.15;2.75;32.3;2;5.2;118.6;Runoff concentration_3;77;29.01.2013;0.469;7.9;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;NA;NA;NA;NA;91.42857143
D;06.02.2013;4;0;Sm1;0.15;1.95;22.8;1.9;3.6;78.7;Sm1_0;77;29.01.2013;NA;NA;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;18.46428571;1.392857143;21.85;3.65;56.85714286
D;06.02.2013;4;0;Sm2;0.05;2.05;19.9;2;3;64.25;Sm2_0;77;29.01.2013;0;7.69;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;17.5;0.285714286;18.15;3.85;20.14285714
D;06.02.2013;4;0;Sm3;0.25;4.05;31;1.8;3.8;114.8;Sm3_0;77;29.01.2013;33.2;7.89;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;0.285714286;2.071428571;17;4.128571429;20.42857143
D;06.02.2013;4;15;Sm1;NA;NA;NA;NA;NA;NA;Sm1_15;77;29.01.2013;NA;NA;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;18.46428571;1.392857143;21.85;3.65;56.85714286
D;06.02.2013;4;15;Sm2;NA;NA;NA;NA;NA;NA;Sm2_15;77;29.01.2013;0;7.69;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;17.5;0.285714286;18.15;3.85;20.14285714
D;06.02.2013;4;15;Sm3;0.55;2.2;15;6.1;4.7;34.4;Sm3_15;77;29.01.2013;33.2;7.89;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;0.285714286;2.071428571;17;4.128571429;20.42857143
D;06.02.2013;4;30;Sm1;4.05;0.1;15.2;18.2;5.3;26.9;Sm1_30;77;29.01.2013;NA;NA;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;18.46428571;1.392857143;21.85;3.65;56.85714286
D;06.02.2013;4;30;Sm2;1.35;1.35;11.8;6.3;3.4;8.9;Sm2_30;77;29.01.2013;0;7.69;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;17.5;0.285714286;18.15;3.85;20.14285714
D;06.02.2013;4;30;Sm3;0.35;1.3;7;3.2;3.8;3.85;Sm3_30;77;29.01.2013;33.2;7.89;06.02.2013;2.714285714;86.72142857;0.75;0.335714286;0.285714286;2.071428571;17;4.128571429;20.42857143
D;21.02.2013;5;1;Runoff concentration;0.35;5.3;9.1;3.1;3.3;56.7;Runoff concentration_1;92;21.02.2013;24.5;7.72;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;NA;NA;NA;NA;8
D;21.02.2013;5;2;Runoff concentration;0.35;4.5;9.8;2.6;2.5;56.05;Runoff concentration_2;92;21.02.2013;22;7.66;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;NA;NA;NA;NA;8.8
D;21.02.2013;5;3;Runoff concentration;0.35;2.9;14;3.9;3.7;60.6;Runoff concentration_3;92;21.02.2013;37.6;7.92;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;NA;NA;NA;NA;20.66666667
D;21.02.2013;5;0;Sm1;NA;NA;NA;NA;NA;NA;Sm1_0;92;21.02.2013;NA;NA;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;8.433333333;0.2;28.3;3.633333333;0.933333333
D;21.02.2013;5;0;Sm2;NA;NA;NA;NA;NA;NA;Sm2_0;92;21.02.2013;18.02;7.77;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;11.06666667;0.3;19.71333333;3.8;0.8
D;21.02.2013;5;0;Sm3;NA;NA;NA;NA;NA;NA;Sm3_0;92;21.02.2013;19.47;8.04;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;12.86666667;0.2;18.11333333;4.053333333;1.333333333
D;21.02.2013;5;15;Sm1;NA;NA;NA;NA;NA;NA;Sm1_15;92;21.02.2013;NA;NA;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;8.433333333;0.2;28.3;3.633333333;0.933333333
D;21.02.2013;5;15;Sm2;0.35;3.5;4.5;3.6;7.6;4.2;Sm2_15;92;21.02.2013;18.02;7.77;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;11.06666667;0.3;19.71333333;3.8;0.8
D;21.02.2013;5;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;92;21.02.2013;19.47;8.04;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;12.86666667;0.2;18.11333333;4.053333333;1.333333333
D;21.02.2013;5;30;Sm1;0.9;1.45;15.2;4.1;9.5;9.5;Sm1_30;92;21.02.2013;NA;NA;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;8.433333333;0.2;28.3;3.633333333;0.933333333
D;21.02.2013;5;30;Sm2;0.5;2.5;5.2;3.9;8.9;1.5;Sm2_30;92;21.02.2013;18.02;7.77;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;11.06666667;0.3;19.71333333;3.8;0.8
D;21.02.2013;5;30;Sm3;0.4;3.25;2.6;2.9;8.2;5.6;Sm3_30;92;21.02.2013;19.47;8.04;21.02.2013;0.746666667;88.57333333;-0.666666667;0.26;12.86666667;0.2;18.11333333;4.053333333;1.333333333
D;22.03.2013;6;1;Runoff concentration;0.5;0.55;14.8;3.1;6.1;95.3;Runoff concentration_1;121;21.03.2013;20.9;7.51;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;NA;NA;NA;NA;4.8
D;22.03.2013;6;2;Runoff concentration;0.55;4.25;15.3;2.8;6.2;83.95;Runoff concentration_2;121;21.03.2013;25.3;7.46;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;NA;NA;NA;NA;7.333333333
D;22.03.2013;6;3;Runoff concentration;0.5;4.7;22.4;4.1;6.5;133.25;Runoff concentration_3;121;21.03.2013;26.6;7.55;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;NA;NA;NA;NA;27.86666667
D;22.03.2013;6;0;Sm1;NA;NA;NA;NA;NA;NA;Sm1_0;121;21.03.2013;22.4;7;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;8.3;0.033333333;21.02;3.706666667;0
D;22.03.2013;6;0;Sm2;NA;NA;NA;NA;NA;NA;Sm2_0;121;21.03.2013;21.3;7.85;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;9.033333333;0;13.42;3.746666667;0
D;22.03.2013;6;0;Sm3;NA;NA;NA;NA;NA;NA;Sm3_0;121;21.03.2013;24.5;8.07;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;12.4;0;17.36666667;3.906666667;0
D;22.03.2013;6;15;Sm1;0.6;4.65;7.1;3.4;9.5;14.85;Sm1_15;121;21.03.2013;22.4;7;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;8.3;0.033333333;21.02;3.706666667;0
D;22.03.2013;6;15;Sm2;NA;NA;NA;NA;NA;NA;Sm2_15;121;21.03.2013;21.3;7.85;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;9.033333333;0;13.42;3.746666667;0
D;22.03.2013;6;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;121;21.03.2013;24.5;8.07;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;12.4;0;17.36666667;3.906666667;0
D;22.03.2013;6;30;Sm1;0.7;4.05;9.6;2.9;10.6;18.5;Sm1_30;121;21.03.2013;22.4;7;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;8.3;0.033333333;21.02;3.706666667;0
D;22.03.2013;6;30;Sm2;1.75;2.2;5.5;3.8;9.4;12.55;Sm2_30;121;21.03.2013;21.3;7.85;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;9.033333333;0;13.42;3.746666667;0
D;22.03.2013;6;30;Sm3;0.5;2.25;0.1;2.6;8;2.9;Sm3_30;121;21.03.2013;24.5;8.07;22.03.2013;0.546666667;78.02666667;-1.4;0.526666667;12.4;0;17.36666667;3.906666667;0
D;17.04.2013;7;1;Runoff concentration;0.1;3.7;36.8;2.9;0;64.15;Runoff concentration_1;147;17.04.2013;1.951;7.46;17.04.2013;0.635714286;73.59285714;7.721428571;1.971428571;NA;NA;NA;NA;30.42857143
D;17.04.2013;7;2;Runoff concentration;0.25;4.2;30.2;2.4;0;45.5;Runoff concentration_2;147;17.04.2013;1.54;7.63;17.04.2013;0.635714286;73.59285714;7.721428571;1.971428571;NA;NA;NA;NA;6.285714286
D;17.04.2013;7;3;Runoff concentration;0.05;5.3;40;3.4;0.7;76;Runoff concentration_3;147;17.04.2013;2.79;7.47;17.04.2013;0.635714286;73.59285714;7.721428571;1.971428571;NA;NA;NA;NA;19.85714286
D;17.04.2013;7;0;Sm1;0.05;3.15;16.3;2;1.4;49.6;Sm1_0;147;17.04.2013;14.52;7.14;17.04.2013;0.635714286;73.59285714;7.721428571;1.971428571;7.571428571;0.107142857;27.15714286;8.642857143;1.571428571
D;17.04.2013;7;0;Sm2;0;2.8;16.5;1.7;0.4;27;Sm2_0;147;17.04.2013;15.51;7.9;17.04.2013;0.635714286;73.59285714;7.721428571;1.971428571;5.142857143;0.035714286;15.86428571;9.207142857;2.571428571
